1	N	48
1	J	48
0	J	48
1	R	48
2	N	49
2	J	49
1	W	49
2	R	49
3	N	63
3	J	64
2	J	64
3	R	64
3	W	68
2	R	68
1	J	73
1	R	73
2	E	73
4	N	74
4	J	74
1	W	74
4	R	74
5	N	106
5	J	106
4	W	107
5	R	107
4	J	109
4	R	109
5	E	110
4	W	115
0	R	115
3	J	3067
3	R	3067
3	W	3067
0	R	3067
4	J	4098
4	R	4098
4	W	4098
0	R	4098
4	J	4114
4	R	4114
4	W	4114
0	R	4114
4	J	4156
4	R	4156
4	W	4156
0	R	4156
4	J	4175
4	R	4175
4	W	4175
0	R	4175
4	J	4191
4	R	4191
6	N	4193
6	J	4194
4	W	4194
6	R	4194
4	J	4200
4	R	4200
6	E	4200
7	N	4200
7	J	4201
4	W	4201
7	R	4201
4	J	4203
4	R	4204
7	E	4204
4	W	4204
0	R	4204
4	J	4787
4	R	4787
4	W	4788
0	R	4788
4	J	4828
4	R	4828
4	W	4828
0	R	4828
4	J	4877
4	R	4877
4	W	4877
0	R	4877
4	J	4918
4	R	4918
4	W	4918
0	R	4918
4	J	4951
4	R	4951
4	W	4951
0	R	4951
4	J	4980
4	R	4980
4	W	4980
0	R	4980
4	J	5062
4	R	5062
4	W	5062
0	R	5062
4	J	5097
4	R	5097
4	W	5097
0	R	5097
4	J	5197
4	R	5197
4	W	5197
0	R	5197
4	J	5232
4	R	5232
4	W	5232
0	R	5233
4	J	5340
4	R	5340
4	W	5340
0	R	5340
4	J	5372
4	R	5372
4	W	5372
0	R	5372
4	J	5428
4	R	5428
4	W	5428
0	R	5428
4	J	5479
4	R	5479
4	W	5479
0	R	5479
4	J	6216
4	R	6216
4	W	6216
0	R	6216
4	J	6487
4	R	6487
4	W	6487
0	R	6487
4	J	6507
4	R	6507
4	W	6508
0	R	6508
4	J	6522
4	R	6522
4	W	6522
0	R	6522
4	J	6540
4	R	6540
4	W	6540
0	R	6540
4	J	6557
4	R	6557
4	W	6557
0	R	6557
4	J	6573
4	R	6573
4	W	6573
0	R	6573
4	J	6591
4	R	6591
4	W	6592
0	R	6592
4	J	6605
4	R	6605
4	W	6605
0	R	6605
4	J	6625
4	R	6625
4	W	6625
0	R	6625
4	J	6640
4	R	6640
4	W	6641
0	R	6641
4	J	6659
4	R	6659
4	W	6659
0	R	6659
4	J	6677
4	R	6677
4	W	6677
0	R	6677
4	J	6694
4	R	6694
4	W	6694
0	R	6694
4	J	6713
4	R	6713
4	W	6713
0	R	6713
4	J	6720
4	R	6720
4	W	6720
0	R	6720
4	J	8305
4	R	8305
4	W	8305
0	R	8305
4	J	8334
4	R	8334
4	W	8334
0	R	8334
4	J	8449
4	R	8449
4	W	8449
0	R	8450
4	J	8486
4	R	8486
4	W	8486
0	R	8486
4	J	8545
4	R	8545
4	W	8545
0	R	8545
4	J	8578
4	R	8578
4	W	8578
0	R	8578
4	J	8757
4	R	8757
4	W	8757
0	R	8757
4	J	8792
4	R	8792
4	W	8792
0	R	8792
4	J	8951
4	R	8952
4	W	8952
0	R	8952
4	J	8991
4	R	8991
4	W	8991
0	R	8991
4	J	9122
4	R	9122
4	W	9122
0	R	9122
4	J	9149
4	R	9149
4	W	9149
0	R	9149
4	J	9402
4	R	9402
4	W	9402
0	R	9402
4	J	9424
4	R	9424
4	W	9424
0	R	9424
4	J	9654
4	R	9654
4	W	9654
0	R	9654
4	J	9691
4	R	9691
4	W	9691
0	R	9691
4	J	9887
4	R	9887
4	W	9887
0	R	9887
4	J	9929
4	R	9929
4	W	9930
0	R	9930
4	J	9958
4	R	9958
4	W	9958
0	R	9958
4	J	9983
4	R	9983
4	W	9983
0	R	9983
4	J	10024
4	R	10024
4	W	10024
0	R	10025
4	J	10051
4	R	10051
4	W	10051
0	R	10051
4	J	10133
